comment_text,brand,search_term,source,additional_info
"Yes some of them are from the ozlana collection but they are the type of style that Chanel used to have",Chanel,Chanel,TikTok,"{ likes: 1, date: '2023-07-13 16:33:46'}"
"bro I hate those jackets the zipper always gets stuck 💀",Lululemon,hate,TikTok,"{ likes: 7, date: '2023-07-13 17:04:13'}"
"Oh! I love it and I want to buy one too🥰",Chanel,love,TikTok,"{ likes: 7, date: '2023-07-14 02:00:48'}"
"I bought the same bag before the quality is good and cheap and it is a famous brand",Dior,quality,TikTok,"{ likes: 1, date: '2023-07-14 05:32:07'}"
"Bangkok selling many 😂 all looks super real and price like 2500baht ...",Dior,price,TikTok,"{ likes: 1, date: '2023-07-14 09:57:47'}"
"EUNWOL AND JISOO BOTH MY ULT BOY AND GIRL BIASES IN THE WHOLE KPOP INDUSTRY ILY DIOR",Dior,Dior,TikTok,"{ likes: 6, date: '2023-07-14 17:45:09'}"
"commenting to stay on haultok",Chanel,haul,TikTok,"{ likes: 3, date: '2023-07-14 21:31:16'}"
"The resale market is saturated and the prices are reasonable.",Dior,price,TikTok,"{ likes: 3, date: '2023-07-14 21:37:18'}"
"😳 girl I was like 😳",Chanel,like,TikTok,"{ likes: 1, date: '2023-07-15 01:17:49'}"
"jisoooooo ahhhhh i love you❤❤❤",Dior,love,TikTok,"{ likes: 5, date: '2023-07-15 09:03:15'}"
"beautiful all time classic 🥰",Cartier,classic,TikTok,"{ likes: 2, date: '2023-07-15 13:24:29'}"
"Chanel is my favorite brand but GIRL you are so pretty that I was just looking at you!!! God bless you ❤️",Chanel,favorite,TikTok,"{ likes: 10, date: '2023-07-15 20:39:49'}"
"I just recently bought this bag from my friendHermes",Louis Vuitton,love,TikTok,"{ likes: 1, date: '2023-07-16 02:08:33'}"
"I love luxury unboxings smmm",Chanel,love,TikTok,"{ likes: 32, date: '2023-07-16 06:01:49'}"
"Love the Scarf🥰",Chanel,love,TikTok,"{ likes: 2, date: '2023-07-16 07:50:42'}"
"I want the dior lip oil so bad but Idk if its worth itttt",Dior,worth,TikTok,"{ likes: 5, date: '2023-07-16 08:49:12'}"
"I reject things all the time at tj maxx and never felt guilty. That's the lifestyle I love 😂",Hermes,love,TikTok,"{ likes: 3, date: '2023-07-16 14:03:40'}"
"Recommend a high imitation high quality shop，you want to have all ，Contactvia WA+8613430675806😂",Hermes,quality,TikTok,"{ likes: 0, date: '2023-07-17 00:48:50'}"
"Recommend a high imitation high quality shop，you want to have all ，Contactvia WA+8613430675806😄",Hermes,quality,TikTok,"{ likes: 0, date: '2023-07-17 00:49:16'}"
"Recommend a high imitation high quality shop，you want to have all ，Contactvia WA+8613430675806😊",Dior,quality,TikTok,"{ likes: 0, date: '2023-07-17 01:34:34'}"
"where can I buy that watch case? at the Cartier boutique?",Cartier,Cartier,TikTok,"{ likes: 1, date: '2023-07-17 02:26:37'}"
"if i buy a bag best believe i’m using it",Chanel,best,TikTok,"{ likes: 1, date: '2023-07-17 02:28:17'}"
"I love it but the price same with real gold right",Dior,price,TikTok,"{ likes: 168, date: '2023-07-17 03:50:05'}"
"For that price point it should be worn every hour",Chanel,price,TikTok,"{ likes: 1, date: '2023-07-17 04:17:34'}"
"l love it",Hermes,love,TikTok,"{ likes: 1, date: '2023-07-17 05:15:21'}"
"If im paying that much for a bag i better love it😭😭",Hermes,better,TikTok,"{ likes: 5, date: '2023-07-17 06:58:32'}"
"I’m tryna be like this",Chanel,like,TikTok,"{ likes: 2, date: '2023-07-17 10:07:20'}"
"you need some sort of variety in colors or else it looks lame",Nike,color,TikTok,"{ likes: 3, date: '2023-07-17 16:15:36'}"
"Recommend a high imitation high quality shop，you want to have all ，Contactvia WA+8613430675806😀",Dior,quality,TikTok,"{ likes: 0, date: '2023-07-18 00:56:22'}"
"Omg it’s stunning but if u don’t love u don’t love",Hermes,love,TikTok,"{ likes: 17, date: '2023-07-18 05:11:32'}"
"its so pretty 😭 but i rather buy real gold with dior engraved logo charm at my local gold shop",Dior,Dior,TikTok,"{ likes: 1, date: '2023-07-18 05:52:46'}"
"Love the yellow",Chanel,love,TikTok,"{ likes: 2, date: '2023-07-18 07:14:59'}"
"😳😳 Basics are the best",H&M,best,TikTok,"{ likes: 4, date: '2023-07-18 09:51:19'}"
"It makes so much why Jennie is Chanel's brand ambassador and is Jisoo is Dior's brand ambassador i love them so much",Chanel,love,TikTok,"{ likes: 0, date: '2023-07-18 21:23:50'}"
"I know I was like😳😳😳",Chanel,like,TikTok,"{ likes: 2, date: '2023-07-19 02:25:26'}"
"@fatii 🤍✨ i actually loveeee",Nike,love,TikTok,"{ likes: 7, date: '2023-07-19 07:24:17'}"
"I just don’t like those dresses that flair on the bottom. It makes me look like table lamp",Chanel,like,TikTok,"{ likes: 0, date: '2023-07-19 08:19:47'}"
"Oh no what a mistake Hermes will hate you now and your life will never be the same. What a tragedy 🙄",Hermes,hate,TikTok,"{ likes: 4, date: '2023-07-19 08:43:33'}"
"I THOUGHT THE REAL ONE WAS THE FAKE",Cartier,thought,TikTok,"{ likes: 37, date: '2023-07-19 10:54:30'}"
"Hermes is MLM or something because you buy all this crap till they deem you worthy to spend tens of thousands on a bag. Needs studying.",Hermes,worth,TikTok,"{ likes: 1, date: '2023-07-19 11:12:37'}"
"wish to be model of Prada♥️",Prada,Prada,TikTok,"{ likes: 1, date: '2023-07-19 16:55:47'}"
"I love Channel designs",Chanel,love,TikTok,"{ likes: 0, date: '2023-07-19 21:28:41'}"
"I FALL IN LOVE",Cartier,love,TikTok,"{ likes: 1, date: '2023-07-19 23:55:53'}"
"I thought that was a arm",Chanel,thought,TikTok,"{ likes: 1, date: '2023-07-19 23:59:27'}"
"I just got one too!! The flush pink color it’s SOO CUTE",Lululemon,color,TikTok,"{ likes: 2, date: '2023-07-20 06:08:12'}"
"Also chanel is a nazi",Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-07-20 07:22:03'}"
"What's the material",Dior,material,TikTok,"{ likes: 3, date: '2023-07-20 08:14:03'}"
"deserved!!! LOVE YOU SO MUCHHHHH",Dior,love,TikTok,"{ likes: 6, date: '2023-07-20 09:05:08'}"
"Guess this is why Jennie was crazy about Chanel 90’s fashion (im literally obsessed omg)",Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-07-20 13:48:14'}"
"Good for you buy what you love not what your offered they cost enough money you should chose",Hermes,love,TikTok,"{ likes: 4, date: '2023-07-20 14:30:19'}"
"prada is probably and mostly the best fashion brand out there",Prada,best,TikTok,"{ likes: 0, date: '2023-07-20 17:50:20'}"
"price reveal plssss",Dior,price,TikTok,"{ likes: 4, date: '2023-07-20 17:55:14'}"
"currently breaking in low panda dunks. worst pain ever",Nike,worst,TikTok,"{ likes: 4, date: '2023-07-20 18:17:09'}"
"I thought that was a person! 😳",Chanel,thought,TikTok,"{ likes: 1, date: '2023-07-20 22:45:29'}"
"price range po pls 😄",H&M,price,TikTok,"{ likes: 4, date: '2023-07-21 15:02:13'}"
"@Prada on top 🥇🏆 don’t you need this for your hair is that why you made it",Prada,Prada,TikTok,"{ likes: 0, date: '2023-07-21 16:20:35'}"
"Grey fog better imo",Nike,better,TikTok,"{ likes: 367, date: '2023-07-22 00:12:59'}"
"I really like how well you speak English❤️",Dior,like,TikTok,"{ likes: 8, date: '2023-07-22 06:16:31'}"
"I love the blue one that had the square neckline and under the poofy skirt it had the metallic pleated one and the cool heels",Dior,love,TikTok,"{ likes: 1, date: '2023-07-22 20:36:11'}"
"One more reason why Dior is for me.",Chanel,Dior,TikTok,"{ likes: 0, date: '2023-07-23 02:13:02'}"
"Here we are being taught our bodies are trends and we can only wear certin clothing",Chanel,trend,TikTok,"{ likes: 0, date: '2023-07-23 02:50:00'}"
"The new bags will wear out the once that were made well in the past lasted and in fact got better with wear the leather and all.",Chanel,better,TikTok,"{ likes: 0, date: '2023-07-23 02:46:43'}"
"I thought the same thing you thought … I was pissed 😡",Chanel,thought,TikTok,"{ likes: 0, date: '2023-07-23 03:36:41'}"
"i'm very dior but i wanna be chanel 🥺",Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-07-23 08:05:52'}"
"So then Chanel is just for me",Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-07-23 10:57:23'}"
"i have the 4th one and loveee",H&M,love,TikTok,"{ likes: 1, date: '2023-07-23 16:53:51'}"
"I love these types of transitions there so yk?",Prada,love,TikTok,"{ likes: 8, date: '2023-07-23 17:57:47'}"
"What the fuck is a Cartier bracelet I have no clue?",Cartier,Cartier,TikTok,"{ likes: 3, date: '2023-07-23 18:58:28'}"
"nice i like it",Prada,like,TikTok,"{ likes: 0, date: '2023-07-24 00:06:44'}"
"Jennie be laughing in the edge 😂 cause she only has to worry which one she should wear next out of her 38949848484mio other Chanel bags",Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-07-24 01:22:51'}"
"🥰🥰🥰🥰 i love you 😘😘😘😘😘",H&M,love,TikTok,"{ likes: 0, date: '2023-07-24 10:35:17'}"
"Girl i thought that was a photocard-",Prada,thought,TikTok,"{ likes: 9, date: '2023-07-24 12:16:33'}"
"Gahh wow this trend is 🔥asf😎✨",Prada,trend,TikTok,"{ likes: 8, date: '2023-07-24 14:12:40'}"
"they were the first ever thing I bought From lulu and I'm in loveee",Lululemon,love,TikTok,"{ likes: 4, date: '2023-07-24 18:20:20'}"
"I will work hard to buy Chanel bag after I buy bag will work how I want )))",Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-07-24 19:21:13'}"
"The color is so good in you!!! I loved the pink more but this looks so cute",Lululemon,love,TikTok,"{ likes: 1, date: '2023-07-24 21:25:28'}"
"you slay this trend😳😎",Prada,trend,TikTok,"{ likes: 12, date: '2023-07-25 03:13:15'}"
"In love!!! 🥰🥰🥰",Dior,love,TikTok,"{ likes: 0, date: '2023-07-25 04:14:17'}"
"the zipper part made me so mad like you can clearly zip tht up...@1# boy kisser",Lululemon,like,TikTok,"{ likes: 0, date: '2023-07-25 08:32:31'}"
"I like it!!! 😶😎",Prada,like,TikTok,"{ likes: 9, date: '2023-07-25 10:24:20'}"
"@Masonyyy highs are better 🐮",Nike,better,TikTok,"{ likes: 4, date: '2023-07-25 22:16:22'}"
"I thought it was an avatar that was pink.",Chanel,thought,TikTok,"{ likes: 0, date: '2023-07-25 22:35:36'}"
"higher price with lower quality 😂 they can keep it",Dior,quality,TikTok,"{ likes: 3, date: '2023-07-26 00:51:12'}"
"every pilipino be like",Lululemon,like,TikTok,"{ likes: 0, date: '2023-07-26 01:08:41'}"
"You’re the perfect Chanel client purchasing different categories 💛",Chanel,Chanel,TikTok,"{ likes: 4, date: '2023-07-26 01:59:21'}"
"@mik !! I thought she was you 😭",Lululemon,thought,TikTok,"{ likes: 1, date: '2023-07-26 02:38:28'}"
"I love both Dior and Chanel. But Chanel somehow connects to me",Chanel,love,TikTok,"{ likes: 0, date: '2023-07-26 09:05:48'}"
"What color was the pillar",Lululemon,color,TikTok,"{ likes: 0, date: '2023-07-26 10:28:31'}"
"love the santos espcially the green but a scratch magnet unless it has adlc",Cartier,love,TikTok,"{ likes: 1, date: '2023-07-26 12:34:24'}"
"We have that one and love it!",Dior,love,TikTok,"{ likes: 1, date: '2023-07-26 15:07:44'}"
"The price is fucking crazy",Adidas,price,TikTok,"{ likes: 0, date: '2023-07-26 18:29:25'}"
"What color are the green ones?",Nike,color,TikTok,"{ likes: 0, date: '2023-07-26 21:21:42'}"
"how's it a dupe if it's more expensive then the samba💀",Adidas,expensive,TikTok,"{ likes: 0, date: '2023-07-26 21:30:11'}"
"lmao I was like🤔 that's a long back wtf is this lol🫢 ohh God a tail",Chanel,like,TikTok,"{ likes: 1, date: '2023-07-26 23:40:48'}"
"Oh I love your eyeshadow",Prada,love,TikTok,"{ likes: 9, date: '2023-07-27 02:03:01'}"
"The old sm better",Chanel,better,TikTok,"{ likes: 1, date: '2023-07-27 02:47:17'}"
"I wanna designs clothes like the old Chanel bc I love designing",Chanel,love,TikTok,"{ likes: 0, date: '2023-07-27 02:48:07'}"
"I wanna design clothes just like the old Chanel so bad bc I love designing and I’m good at it",Chanel,love,TikTok,"{ likes: 1, date: '2023-07-27 02:48:52'}"
"STAN SMITH CLASSIC BEAT ALL OF THAT",Adidas,classic,TikTok,"{ likes: 1, date: '2023-07-27 06:36:27'}"
"OMGGGGGGGGGGGGGGG I LOVE DIOR😍😍😍",Dior,love,TikTok,"{ likes: 4, date: '2023-07-27 13:02:55'}"
"Ur so cute love the make up",Prada,love,TikTok,"{ likes: 7, date: '2023-07-27 13:35:51'}"
"Chanel before 🔛🔝",Chanel,Chanel,TikTok,"{ likes: 2, date: '2023-07-27 17:30:17'}"
"never ever waste your time on a useless priducts",Hermes,waste,TikTok,"{ likes: 0, date: '2023-07-27 19:10:30'}"
"Coco Chanel was NA zi supporter.",Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-07-28 03:47:55'}"
"love the era",Prada,love,TikTok,"{ likes: 8, date: '2023-07-28 04:10:56'}"
"I love these but I rather get them from my Jeweler in solid gold 😩",Louis Vuitton,love,TikTok,"{ likes: 144, date: '2023-07-28 05:15:40'}"
"As much as I love LV I wouldn’t buy gold plated for $500",Louis Vuitton,love,TikTok,"{ likes: 36, date: '2023-07-28 05:23:48'}"
"Too bad me and my bestie are brokies 😂",Louis Vuitton,best,TikTok,"{ likes: 2021, date: '2023-07-28 05:26:10'}"
"i use my d&g/dior bags almost daily & they stay in great shape however chanel falls apart really fast which sucsk for the price tag u pay",Chanel,price,TikTok,"{ likes: 2, date: '2023-07-28 13:47:41'}"
"you win the trend x",Prada,trend,TikTok,"{ likes: 12, date: '2023-07-28 14:06:39'}"
"super realistic and reasonable thank you for the recommendation!!!!",Louis Vuitton,recommend,TikTok,"{ likes: 277, date: '2023-07-28 16:18:14'}"
"vancleef + cartier stack😩",Cartier,Cartier,TikTok,"{ likes: 1, date: '2023-07-28 17:11:57'}"
"I love cream all over my outfit",Nike,love,TikTok,"{ likes: 1, date: '2023-07-28 18:19:16'}"
"$500 for gold COLORED",Louis Vuitton,color,TikTok,"{ likes: 1, date: '2023-07-28 18:24:51'}"
"i love the glitters 😩😩😩✨✨✨✨😻😻",Prada,love,TikTok,"{ likes: 8, date: '2023-07-28 21:39:51'}"
"im in love with this song",Prada,love,TikTok,"{ likes: 9, date: '2023-07-29 05:09:05'}"
"Turns green 😀 don’t do it bestie",Louis Vuitton,best,TikTok,"{ likes: 6, date: '2023-07-29 07:53:38'}"
"Go to love luxury",Hermes,love,TikTok,"{ likes: 3, date: '2023-07-29 19:13:10'}"
"i thought you were nicole laeno😭",Lululemon,thought,TikTok,"{ likes: 2, date: '2023-07-29 22:00:34'}"
"The 90% off is Bs -a lululemon worker",Lululemon,Lululemon,TikTok,"{ likes: 0, date: '2023-07-30 01:57:42'}"
"You should’ve got the elete 11 one it’s so much cheaper and better quality",Lululemon,quality,TikTok,"{ likes: 1, date: '2023-07-30 03:19:07'}"
"Online! Lazada also have lululemon official stores. Same as the website. Asian size is so call petite and the US cutting is so call long.",Lululemon,Lululemon,TikTok,"{ likes: 0, date: '2023-07-30 04:51:07'}"
"I hate ts I wanna sell them..",Lululemon,hate,TikTok,"{ likes: 1, date: '2023-07-30 07:34:44'}"
"3 of these aren’t even from Chanel",Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-07-30 10:36:15'}"
"why would they even call you if you'd asked for a different color? call someone whose asked for that color!",Hermes,color,TikTok,"{ likes: 5, date: '2023-07-30 11:34:46'}"
"@Joli ♡ ugh i would love",Louis Vuitton,love,TikTok,"{ likes: 1, date: '2023-07-30 15:59:30'}"
"U LOOK LIKE ON ONE K-POP",Prada,like,TikTok,"{ likes: 31, date: '2023-07-30 18:06:17'}"
"Love the beauty 🫶",Prada,love,TikTok,"{ likes: 11, date: '2023-07-30 18:40:18'}"
"@Angel is in mid-life crisis thoughts on this bracelet?",Louis Vuitton,thoughts,TikTok,"{ likes: 0, date: '2023-07-30 20:02:25'}"
"If you wanna do luxury friendship bracelet I think getting it from a jewellery brand is better as LV is more bags & clothing",Louis Vuitton,better,TikTok,"{ likes: 1, date: '2023-07-30 21:07:59'}"
"In love with that sweater💗💗💗",Lululemon,love,TikTok,"{ likes: 2, date: '2023-07-30 21:08:19'}"
"Yo con Dior y rare beauty",Dior,Dior,TikTok,"{ likes: 3, date: '2023-07-31 03:01:52'}"
"People are buying pre-loved for a lot cheaper. I saw sellers selling pristine for $4500. Dior isn’t chanel or hermes. Their bags don’t hold value well",Dior,love,TikTok,"{ likes: 9, date: '2023-07-31 03:07:47'}"
"just get a bunch of chanel bags so you can cycle them through",Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-07-31 06:07:28'}"
"What color and inseam size are the commission shorts please?! @Liz Webber",Lululemon,color,TikTok,"{ likes: 0, date: '2023-07-31 15:38:44'}"
"the Chanel brooch 😍",Chanel,Chanel,TikTok,"{ likes: 2, date: '2023-07-31 17:07:51'}"
"Omg I paid 3600€ for the ABC dior !",Dior,Dior,TikTok,"{ likes: 7, date: '2023-07-31 17:42:17'}"
"Wow that whole color palette is chef's kiss on your complexion. literally the glow",Lululemon,color,TikTok,"{ likes: 3, date: '2023-07-31 21:20:20'}"
"My bestie and I broke",Louis Vuitton,best,TikTok,"{ likes: 0, date: '2023-08-01 01:35:19'}"
"i hate zipper struggle",Lululemon,hate,TikTok,"{ likes: 1, date: '2023-08-01 03:33:12'}"
"my new dream hHahahah!!! I really have no idea dreaming about like these stuffs but now bye I’m a woman now and forever.",Dior,like,TikTok,"{ likes: 1, date: '2023-08-01 16:36:08'}"
"Blue Jean…MY DREAM COLOR. 🥰🥰",Hermes,color,TikTok,"{ likes: 3, date: '2023-08-01 19:05:30'}"
"best water bottle i’ve ever owned",Lululemon,best,TikTok,"{ likes: 0, date: '2023-08-01 21:06:54'}"
"I still love mine though",Cartier,love,TikTok,"{ likes: 1, date: '2023-08-01 21:18:13'}"
"I feel like now they’re keeping it simple",Chanel,like,TikTok,"{ likes: 0, date: '2023-08-01 21:33:05'}"
"why would you love him",Chanel,love,TikTok,"{ likes: 0, date: '2023-08-01 22:54:20'}"
"Forum Low 1 are the best comfortable affordable and cool",Adidas,best,TikTok,"{ likes: 3, date: '2023-08-02 03:49:10'}"
"CHANEL but make it MOIC 💗🍦",Chanel,Chanel,TikTok,"{ likes: 1, date: '2023-08-02 11:08:13'}"
"I thought I was alone…",Cartier,thought,TikTok,"{ likes: 4, date: '2023-08-02 11:53:55'}"
"did this girl just say Prada HAUL?!?",Prada,haul,TikTok,"{ likes: 0, date: '2023-08-02 12:53:09'}"
"I bought a love bracelet and it didn’t come with a cleaning kit!!!!",Cartier,love,TikTok,"{ likes: 2, date: '2023-08-02 19:41:31'}"
"I put cream on every time I wash my hands I just can't be bothered to take off my rings like 30 times a day 🫠",Cartier,like,TikTok,"{ likes: 5, date: '2023-08-02 22:00:33'}"
"I have like 2 rings and like 4 bracelets and never had the cleaning solution. I even didn’t know it exist",Cartier,like,TikTok,"{ likes: 3, date: '2023-08-03 02:02:05'}"
"I got it and I love it sm😭",Lululemon,love,TikTok,"{ likes: 1, date: '2023-08-03 06:12:41'}"
"how many price?",Adidas,price,TikTok,"{ likes: 6, date: '2023-08-03 10:22:46'}"
"I have a crush on old Chanel",Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-08-03 17:10:20'}"
"I didn’t get a kit! But you can have it cleaned for free at Cartier",Cartier,Cartier,TikTok,"{ likes: 15, date: '2023-08-03 19:50:15'}"
"My answer was “none of them” because every Chanel store I walk into has no stock",Chanel,Chanel,TikTok,"{ likes: 52, date: '2023-08-03 23:28:20'}"
"better go to reseller @LoveLuxury.co.uk",Hermes,better,TikTok,"{ likes: 3, date: '2023-08-03 23:55:10'}"
"Lululemon is only for white girls",Lululemon,Lululemon,TikTok,"{ likes: 0, date: '2023-08-04 02:02:00'}"
"i nearly fainted after seeing the prices",Adidas,price,TikTok,"{ likes: 2, date: '2023-08-04 03:24:03'}"
"Is that really Cartier?",Cartier,Cartier,TikTok,"{ likes: 2, date: '2023-08-04 04:57:26'}"
"Omg I love the blue!",Hermes,love,TikTok,"{ likes: 5, date: '2023-08-04 10:35:37'}"
"yessss i love my gazelles they rlly beat tho lol",Adidas,love,TikTok,"{ likes: 1, date: '2023-08-04 11:22:02'}"
"I love ❤️",Chanel,love,TikTok,"{ likes: 3, date: '2023-08-04 11:39:32'}"
"i bought gazelle from preloved then adidas samba pasabuy from Canada haha😅",Adidas,love,TikTok,"{ likes: 0, date: '2023-08-04 16:58:43'}"
"I stopped wearing my Cartier bracelet because the scratching was stressing me out",Cartier,Cartier,TikTok,"{ likes: 42, date: '2023-08-04 18:15:48'}"
"Are the shoes comfortable? or very stiff ?",Adidas,comfortable,TikTok,"{ likes: 1, date: '2023-08-04 18:41:10'}"
"Babe when you wash your hands properly it removes the lotions and cremes within the engravings.-signed a Cartier love ring owner",Cartier,Cartier,TikTok,"{ likes: 4, date: '2023-08-04 22:31:51'}"
"the worstt right having to clean your cartier omggg why is life so bad",Cartier,Cartier,TikTok,"{ likes: 3, date: '2023-08-04 23:16:16'}"
"Omg no you didn’t 🩵 but we only have room in our closet for the things we love 😉",Hermes,love,TikTok,"{ likes: 5, date: '2023-08-05 16:36:31'}"
"This happens to a lot of rings not just Cartier. It’s no one’s fault but yours lmao",Cartier,Cartier,TikTok,"{ likes: 1, date: '2023-08-05 18:36:59'}"
"Its hella expensive but so good…",Lululemon,expensive,TikTok,"{ likes: 1, date: '2023-08-05 19:27:30'}"
"once i was at the airport and this girl left her ring cartier in the bathroom sink while washing her hands by the time me and my mom found it she was",Cartier,Cartier,TikTok,"{ likes: 1, date: '2023-08-05 20:25:51'}"
"Or improve the quality? Why spend 4 grand on something that will break if you use it often",Chanel,quality,TikTok,"{ likes: 0, date: '2023-08-05 23:21:03'}"
"The design looks like a head of a screw. I just want to get a flat head screwdriver and try to unscrew it. lol",Cartier,like,TikTok,"{ likes: 3, date: '2023-08-06 05:00:41'}"
"yeah bc I'm just gonna waste like 10k on a bag that im totally just gonna stare at until I rot",Chanel,waste,TikTok,"{ likes: 3, date: '2023-08-06 13:19:24'}"
"i love thisHermes",Louis Vuitton,love,TikTok,"{ likes: 1, date: '2023-08-06 17:29:01'}"
"I literally wish I looked like this..",Lululemon,like,TikTok,"{ likes: 1, date: '2023-08-06 20:59:33'}"
"Chanel ‘s second “before” outfit was a reset for me such a masterpiece",Chanel,Chanel,TikTok,"{ likes: 0, date: '2023-08-06 22:17:12'}"
"my dior ring tarnished cause i literally just never take it off. i shower with it moisturize swim etc its so bad for jewelry",Cartier,Dior,TikTok,"{ likes: 1, date: '2023-08-06 22:51:51'}"
"Crazy... might as well get preloved so many new and under 4k😭💀",Dior,love,TikTok,"{ likes: 0, date: '2023-08-07 01:29:05'}"
"like what happened?",Chanel,like,TikTok,"{ likes: 0, date: '2023-08-07 03:24:39'}"
"oh my thought theyre cooking a person",Chanel,thought,TikTok,"{ likes: 0, date: '2023-08-07 03:27:14'}"
"Can’t be quality if it wears out",Chanel,quality,TikTok,"{ likes: 0, date: '2023-08-07 13:39:38'}"
"Why is ur love bracelet so skinny",Cartier,love,TikTok,"{ likes: 1, date: '2023-08-07 17:07:48'}"
"9 years for a bag that looks like every other bag at winners lmao not worth it",Hermes,worth,TikTok,"{ likes: 1, date: '2023-08-07 17:28:30'}"
"Don’t play the Hermes gameHermes",Louis Vuitton,worth,TikTok,"{ likes: 2, date: '2023-08-08 03:58:43'}"
"How do I fond clothes like the old Chanel?😩😩😩",Chanel,like,TikTok,"{ likes: 0, date: '2023-08-08 05:09:07'}"
"i love your bracelets too",Cartier,love,TikTok,"{ likes: 1, date: '2023-08-08 08:52:18'}"
"it is totally a waste of money",Hermes,waste,TikTok,"{ likes: 0, date: '2023-08-08 13:20:06'}"
"How much are those bags actually? Probably a years worth of my wages 😂😂😂 creating false demandHermes",Louis Vuitton,worth,TikTok,"{ likes: 3, date: '2023-08-08 14:06:55'}"
"I totally thought you got baby blue!!!! Obsessed 😍😍😍😍",Prada,thought,TikTok,"{ likes: 6, date: '2023-08-08 16:32:51'}"
"that is adorable I love it!! you deserve it 💗",Prada,love,TikTok,"{ likes: 3, date: '2023-08-08 17:25:31'}"
"STUNNING JUST LIKE YOU! 😻",Prada,like,TikTok,"{ likes: 3, date: '2023-08-08 17:26:22'}"
"I love your bag it’s so cutee",Prada,love,TikTok,"{ likes: 9, date: '2023-08-08 17:26:44'}"
"I really love this ASMR 😍🥰",Prada,love,TikTok,"{ likes: 3, date: '2023-08-08 17:34:20'}"
"The ties made the best sound so proud of you Kaeli ❤️❤️",Prada,best,TikTok,"{ likes: 6, date: '2023-08-08 17:34:53'}"
"I love that🤩",Prada,love,TikTok,"{ likes: 7, date: '2023-08-08 17:43:35'}"
"Girl u deserves this i love you so much ur my biggest inspiration EVER 🤍💮",Prada,love,TikTok,"{ likes: 6, date: '2023-08-08 17:44:31'}"
"1 hr ago U DO DESERVE THE BAG U ARE FAMOUS TIK TOKER I LOVE UR HOUSE UR RE FILLING UR SKIN CARE EVERYTHING",Prada,love,TikTok,"{ likes: 3, date: '2023-08-08 18:08:21'}"
"Slay your like the best content creator I love your vids keep posting ☁️☁️",Prada,love,TikTok,"{ likes: 4, date: '2023-08-08 18:32:48'}"
"I love it! 😍😍",Prada,love,TikTok,"{ likes: 6, date: '2023-08-08 18:57:54'}"
"prada luna rossa is amazing imo",Prada,Prada,TikTok,"{ likes: 1, date: '2023-08-08 19:01:50'}"
"I can already see people hating me for putting Prada black last 😅",Prada,Prada,TikTok,"{ likes: 20, date: '2023-08-08 19:02:13'}"
"prada l’homme edt lasts 8 hours on my skin easily",Prada,Prada,TikTok,"{ likes: 0, date: '2023-08-08 19:07:07'}"
"i love your new pfp",Prada,love,TikTok,"{ likes: 9, date: '2023-08-08 19:08:13'}"
"Prada L’Homme is criminally underrated! 🔥",Prada,Prada,TikTok,"{ likes: 58, date: '2023-08-08 19:14:40'}"
"Prada Black is amazing! It’s just that people always overspray it",Prada,Prada,TikTok,"{ likes: 341, date: '2023-08-08 19:52:15'}"
"But what about the others that I saw? I need a haul rn",Prada,haul,TikTok,"{ likes: 7, date: '2023-08-08 20:00:53'}"
"Prada black smell like straight baby powder",Prada,like,TikTok,"{ likes: 0, date: '2023-08-08 20:12:09'}"
"I love all things Prada!",Prada,love,TikTok,"{ likes: 3, date: '2023-08-08 20:17:27'}"
"‘It’s not just a bag it’s a Prada’✨💅",Prada,Prada,TikTok,"{ likes: 3030, date: '2023-08-08 20:27:23'}"
"love itttt x",Prada,love,TikTok,"{ likes: 2, date: '2023-08-08 20:45:36'}"
"I was just about to buy rossa black and I get recommended this?? I’ll go smell it again 😒😒",Prada,recommend,TikTok,"{ likes: 1, date: '2023-08-08 21:02:21'}"
"I need to get Prada lhomme it's definitely one of the next 10 fragrances lol",Prada,Prada,TikTok,"{ likes: 0, date: '2023-08-08 21:10:58'}"
"Congrads love 💖💖💖💖💖 ittt",Prada,love,TikTok,"{ likes: 7, date: '2023-08-08 21:26:24'}"
"Hey man if u don’t like em u can always give ‘em to me🤷‍♂️😭",Prada,like,TikTok,"{ likes: 0, date: '2023-08-08 21:41:01'}"
"I’ll take Prada Black off your hands! I LOVE it; i do think it smells better on women though 🥰. So good!",Prada,love,TikTok,"{ likes: 3, date: '2023-08-08 22:04:07'}"
"Idk why I laugh so hard when you describe scents you don’t like or are your least favorites 🤣💯👏🏾",Prada,like,TikTok,"{ likes: 2, date: '2023-08-08 22:08:45'}"
"you deadass look like a fucking mom💀",Lululemon,like,TikTok,"{ likes: 1, date: '2023-08-08 23:01:12'}"
"She’s beautiful. I could never afford anything like that",Prada,like,TikTok,"{ likes: 3, date: '2023-08-08 23:22:29'}"
