,Brand,Search,Comments,Source,Additional info
3991,Forever 21,waste,"The Decline of Forever 21...What Happened?+Back in the mid 2010s I used to LOVE forever 21. They had this sweet and cute style of clothes that I couldn’t find anywhere else. I also live in Canada so it was harder to find a location that wasn’t in a big city. Then the bankruptcy happened and I’m not positive but I’m pretty sure they closed almost all of their Canadian locations. Fast forward to earlier this year and a “forever 21” opens as almost like a corner shop in The Bay which is kinda like a Sears with fancier brands. They also had their clothes occasionally in other discount fast fashion places like Urban Planet. The one thing I notice right away is that although prices are still in that “average/slightly above average” area, their clothes have gotten remarkably lower quality. Like, almost lower than Shein/Romwe quality in some cases. Everything is made of cheap polyester even when it doesn’t have to be, Seams aren’t finished or have fraying or thread sticking out, zippers are ripped or really poor quality and you can just feel the clothes falling apart even while you try them on. Even with items on sale, it’s hard to justify the purchase because I’m thinking “oh I’ll have to sew this” or “oh I’ll have to reinforce this”. And like, there’s some items I have from before the bankruptcy that I still wear almost 10 years later, but now anything I buy from there feels like I’ll only get a wash or two out of them before they’re ruined. I can only imagine the quality control and conditions of their clothing manufacturers…. Plus… maybe im just older now at 26, but I find the clothes not all that unique anymore? They often use the same patterns or fabric for multiple items and they’re not as cute as they are either just edgy or something you’d wear on a night out. I remember getting cute cardigans from there, and dress clothes and nice blouses and now that’s nowhere to be found. It’s just sad the direction they’ve gone in because I really had a lot of loyalty and favour for the brand but now it feels like a completely different store. And they don’t even have that much stock anyways, either online or in store. It’s just disappointing honestly.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
3992,Forever 21,waste,"The Decline of Forever 21...What Happened?+I did some work for them as a consultant several years ago. The number of lawsuits that they were experiencing was unbelievable. As the video stated, they had a culture of blatantly breaking copyright law by constantly copying designer clothing and accessories.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4009,Forever 21,waste,"The Decline of Forever 21...What Happened?+I worked at a Forever 21 roughly ten years ago when I was in my early 20s. It was a fun temporary job and I made a few friends but the boss always has a stick up her butt. The quality of the clothes are hit and miss, you CAN find some good items if you pay attention to the material and stitching. But please, for the love of God, WASH YOUR CLOTHES BEFORE YOU WEAR THEM. We would have ""overnight parties"" where we would come in in our PJs and just sit on the floor and put on security tags. Every single item at Forever 21 has been on the floor, essentially used as a dust mop.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4011,Forever 21,waste,"The Decline of Forever 21...What Happened?+Forever 21 is essentially Claire's, all grown up, struggling to adjust to not being noticed by the crowd anymore.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4012,Forever 21,waste,"The Decline of Forever 21...What Happened?+Online shops like Romwe, Shien,Fashion Nova are beating them at their game by selling at a lower price and even faster fashion.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4013,Forever 21,waste,"The Decline of Forever 21...What Happened?+Seeing the title alone without even watching the video yet: FUCKING GOOD. I've been begging people to stop shopping at F21 for YEARS because of how they notoriously and repeatedly stole from small, independent artists and designers for their shit. They were a regular feature on the blog ""You Thought We Wouldn't Notice"", which was a repository for both artists and observers to post their finds.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4014,Forever 21,waste,"The Decline of Forever 21...What Happened?+I used to shop at forever 21 in my mid 20s or so, but I quickly switched to h&m for the basics they had. I still prefer h&m if I need basics and forever 21 honestly doesn't really have much to offer me anymore.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4015,Forever 21,waste,"The Decline of Forever 21...What Happened?+I came here with my sister when accompanying her to the mall and now with my wife on occasion. In 15 years the difference is shocking, even to me, a man who is paying minimal attention. It’s basically a thrift store now and every store is so empty. Every time you go to the mall you think “wow, that place is still here? How low is their rent?”",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4016,Forever 21,waste,"The Decline of Forever 21...What Happened?+I used to shop there a lot way back, now Forever 21 kinda feels a bit stale nowadays. They had some of the cutest clothes, especially the plus size ones.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4017,Forever 21,waste,"The Decline of Forever 21...What Happened?+When I was in high school (about 15 years ago) I used to frequently shop at Forever 21. I liked their style, and it was affordable. But towards the end of high school/beginning of college, their quality seemed to decline and their stores seemed to get dirtier and I stopped going",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4018,Forever 21,waste,"The Decline of Forever 21...What Happened?+Let me guess…all the customers grew up and realized what a tool they were for buying overpriced, cheaply made-in-sweat-shop rags?",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4019,Forever 21,waste,"The Decline of Forever 21...What Happened?+It's funny that just the other day I was on their online store just browsing and didn't find anything appealing to me, I'm not sure if I'm no longer within the target demographic but that's my reason for not shopping like I use to.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4020,Forever 21,waste,"The Decline of Forever 21...What Happened?+Forever 21 was a huge hit in the Philippines when it first came in, mostly because it was a foreign brand that was exclusively familiar to the upper class market who travel abroad or have relatives there. The prices were higher than local brands that use better quality cloth, but F21 successfully marketed itself as a more upscale brand than it really was.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4021,Forever 21,waste,"The Decline of Forever 21...What Happened?+To me, it's the decline of quality. In the last 5 years, I've been switching to Old Navy and Uniqlo. Old Navy for cheap everyday wear, for white dresses which are not see-through, and Uniqlo for super sturdy basic wear.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4022,Forever 21,waste,"The Decline of Forever 21...What Happened?+I really despise fast fashion brands. The exploitation, the relatively high environmental footprint per product, and how badly it shapes pop culture. I know it's not as profitable to sell clothes that will last you several years, but I think that is ultimately the ethical thing to do. That's why I like BJJ rash guards and spats. They're comfortable, are designed to take a beating, and fit really well. Plus, you can wear pretty much anything over them as needed.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4023,Forever 21,waste,"The Decline of Forever 21...What Happened?+I’ve worked here the past 2 years, the company is actually doing well since the bankruptcy, especially last years sales. I believe the company will be around for some time, but it does seem to be much less favored than it used to be. The biggest problem with the company is the overbuying. There’s too much product coming in everyday and they’re not making smart purchases. A lot of the new stuff is ugly and doesn’t look right on the hanger so it doesn’t sell. Or it doesn’t fit well because it’s made for 1 body type. So it ends up on sale for $5. This is a never ending cycle. On top of that the stores are too large and too full to properly maintain. As a customer, I wouldn’t want to shop in a store so messy, but if you do please understand we are doing our best.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4024,Forever 21,waste,"The Decline of Forever 21...What Happened?+There structure is how the chaebols in South Korea were run. Samsung, LG, Hyundai and so on are only and largely run by a single extended family. It's not surprising if the Changs emulated this in Forever 21.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4025,Forever 21,waste,The Decline of Forever 21...What Happened?+The reason I personally stopped shopping there is the cheap ugly quality I don't like cheap quality clothing urban outfitters is where I occasionally still go because the quality of some things are really good,https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4026,Forever 21,waste,"The Decline of Forever 21...What Happened?+I still shop at Forever 21 from time to time. Their clothes are low quality, but I can occasionally find a cute t-shirt or hoodie.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4027,Forever 21,waste,"The Decline of Forever 21...What Happened?+last time i was this early, forever 21 hadn’t filed for bankruptcy",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4063,Forever 21,waste,"The Decline of Forever 21...What Happened?+Forever 21 seemingly has been on a decline, and ironically, the one in Rockaway, NJ was a former FYE (which has since reopened to replace Saturday Matinee). Interesting you posted one for FYE and now one for Forever 21. Please do one for the decline of A&P!",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4064,Forever 21,waste,The Decline of Forever 21...What Happened?+Forever 21 had a HUGE opportunity to cater to the plus size girlies...but if F21 insists on dressing us plus size gals like grandmas or children...we're gonna shop elsewhere :P,https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4065,Forever 21,waste,"The Decline of Forever 21...What Happened?+Here in Korea they were kind of folk heroes who would get about three of four big news spots a year talking about their American dream success story. I remember the articles just kind of slowing down and then just disappearing completely. Makes sense now. Some people are the ""always stay hungry"" types, but a think cashing out or slowing your grind to bow out on top (Michael Jordan style) is a virtue in its own right.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4066,Forever 21,waste,"The Decline of Forever 21...What Happened?+I used to shop every now and then at the Forever 21 I used to live close to. What I liked best about it was the variety of sizes. I liked how you could pretty much find everything from extremely petite sized clothing to extra large garments. Being extremely small, I often have to settle for kid's clothing at most retailers because that's all that fits. At Forever 21, though, I was able to find clothes that fit and weren't designed for kids, just really small women like me. I haven't had a lot of luck finding another retailer which equally caters to such a wide range of sizes and fashions for adults, but then again, I'm not huge on clothes shopping. Nowadays I just buy what fits and looks good when I happen to find it. X)",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4067,Forever 21,waste,The Decline of Forever 21...What Happened?+I wonder how the Korean chaebol style of company ownership played an impact on Forever 21's ownership structure?,https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4068,Forever 21,waste,"The Decline of Forever 21...What Happened?+When I was a teenager, Forever 21 was THE store but I don’t remember them having good prices like at all. It may have been the state but I remember the teens that shopped there weren’t from mid-to-upper class, these were kids who’s families were broke but would get their kids the latest in everything.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4069,Forever 21,waste,The Decline of Forever 21...What Happened?+as someone who used to shop with forever 21 my two main gripes about them are their terrible exchange policy and their lack of awareness of what people are into,https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4070,Forever 21,waste,"The Decline of Forever 21...What Happened?+Selling poorly-made crap DID work .. until the internet came to bat with 6,492 web sites offering the same (lack of) quality at a 20% discount.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4071,Forever 21,waste,"The Decline of Forever 21...What Happened?+For someone that worked there for 7 years. I can say a lot of the issues came from distribution. I was stock, stock manager, assistant manager. The amount of shipment you would get a day was enormous. You would sit on product for months cause there would be no room to put it anywhere. The amount of money spent on storage units and uHauls to transfer between stores in the district was insane.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4072,Forever 21,waste,The Decline of Forever 21...What Happened?+I still only get my clothes from JC Penney's because they're literally the only ones that make affordable plus-size clothes that are cut right.,https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4073,Forever 21,waste,The Decline of Forever 21...What Happened?+Ive noticed they now have a “fashion nova-esque” party outfit section online and in stores but the items arent even private label? They have the same tags as perhaps a Shein. It appears theyre trying to now appeal to a demo that has moved on years ago.,https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4074,Forever 21,waste,"The Decline of Forever 21...What Happened?+Stupid fact, I went and shopped at a forever 21 back 11 years ago to buy and get this a Mad Men outfit, they promoted a line of Mad Men the tv show outfits. They looked really sharp and I even bought a shirt. :)",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4075,Forever 21,waste,"The Decline of Forever 21...What Happened?+As a T-shirt and jeans kinda guy, the only reason I clicked on this episode is because I love this channel!",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4076,Forever 21,waste,"The Decline of Forever 21...What Happened?+Also ""fast fashion"" is the cultural decline of America and the west",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4077,Forever 21,waste,The Decline of Forever 21...What Happened?+I've been in there a few times and see absolutely nothing I want. Even when I was closer to that age I never desired anything at the store. Taste and evolving traits and they didn't keep up.,https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4078,Forever 21,waste,The Decline of Forever 21...What Happened?+If they add more mens clothes I’d be happy. Their small collection is enough for me to find at least one thing. But I’d love if they’d add more mens options,https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4079,Forever 21,waste,"The Decline of Forever 21...What Happened?+Used to shop at Forever21 often in my early 20s, I always found it was hit or miss with them though. You could go in one day and find a bunch of cool stuff u like, then go another day and there’s nothing u like. Also felt the clothing sections and organization layout was a bit messy for my taste. Regardless I did find some gems there, yea they didn’t last long but for the moment they were cool",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4080,Forever 21,waste,"The Decline of Forever 21...What Happened?+To sum it up, it was pride, ego and unwillingness to adapt, which lead to their downfall.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4081,Forever 21,waste,"The Decline of Forever 21...What Happened?+I loved Forever 21 when I was in my 20s but it is one of those stores you tend to grow out of.  In recent years, before the one in my mall closed, I would stop in and just see a bunch of crap.  I'm all for fashion and trends but their clothing just looked trashy.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4082,Forever 21,waste,"The Decline of Forever 21...What Happened?+As someone who used to buy fast fashion, I could say that forever 21 was easily the worst quality. Noticeably worse than H&M and Zara, whom are nothing to write home about.",https://www.youtube.com//watch?v=wrKIrPWTag0&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4083,Forever 21,waste,"Women Try Forever 21's Business Casual Clothing+Okay, but there are SO many things at F21 that could actually be considered business casual. If they actually tried then maybe they would have been more successful in their attempt to dress like they work for a company that doesn’t allow you to wear sweats to work.",https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4084,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+Joyce has such a nice voice. I want videos of her reading fairytale stories about girl knights and princesses and dragons.,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4085,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+0:33 i'm more artistic.. lady you're wearing all black basically you look like you bout to be stage crew,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4086,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+I work at forever21 and you can definitely find business casual outfits. What they picked is what they assume would look good or what they wanted to wear. If they had someone helping them with styling they could of landed the looks.,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4087,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+to everyone saying that you couldn't wear this... well the point of the video was seeing if forever 21 could actually have appropriate clothing for business. obviously not but alot of people were confused lol,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4088,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+Can I just say Joyce slays my life,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4089,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+Swasti's skin is looking flawless!,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4090,Forever 21,waste,"Women Try Forever 21's Business Casual Clothing+""people tell me I look sexy or sassy but those are honestly words I dont want to have associated with me"" well then honey put on an actual shirt for starters I know its shocking.",https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4091,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+The girl who was saying she was more artistic so she liked wearing whatever she wanted.... uh yeah that's literally everyone. I don't think anyone is crazy about dress codes...,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4092,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+My ideal wardrobe is business casual.,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4093,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+Crop tops are never business casual. Even if it goes really well with the suit.,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4094,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+Definitely wouldn’t be acceptable at my work,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4095,Forever 21,waste,"Women Try Forever 21's Business Casual Clothing+Omg “I do t know who that Joyce is, she’s dead”",https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4096,Forever 21,waste,"Women Try Forever 21's Business Casual Clothing+Why are miniskirts, midriff tops, and bodycon skirts business casual?",https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4097,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+I was so hopeful for this video because I've been really needing more clothes for work. I'd probably be in big trouble if I wore any of these items to work.,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4098,Forever 21,waste,"Women Try Forever 21's Business Casual Clothing+I swear As /Is employees  physically cannot wear anything that's not revealing, extra or extremely form fitting. It's like their brains shut down any time they have to be ""professional"", ""business"" or ""modest"". They never do these challenges right because it's just not in their vocabulary apparently  it is so frustrating. Wish they'd do these things right! Still love the outfits tho",https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4099,Forever 21,waste,"Women Try Forever 21's Business Casual Clothing+This flop had nothing to do with Forever 21, but the ladies. From what I saw, the website had quite a few pieces they could've put together to be business casual. Come on now . I'm 18 and know you're not supposed to dress like that. The long skirt and blouse was the closest to something that worked and was still a no",https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4100,Forever 21,waste,"Women Try Forever 21's Business Casual Clothing+Strange idea of business casual. It depends on the industry too. The creative industries have a lot more leeway. In the UK for all else, it means not a suit but still smart and very business like eg a grey/cream/white wrap over top with a grey pair of flared subtle checked, trousers and sling-back, patent kitten heels and some nice jewellery to compliment  is typical smart, casual in the City of London.",https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4119,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+i love how the person who said the top was a little much was wearing giant Nemo earrings,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4120,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+The second one looked amazing!,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4121,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+My office is business casual and I would be at least talked about but potentially sent home in these outifts,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4122,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+Guys forever 21 actually has a ton of cute blouses and pants that will pass as business casual. This is not a good representation of what they offer. This is buzzfeed business casual but not real work business casual,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4123,Forever 21,waste,"Women Try Forever 21's Business Casual Clothing+I give them props for trying to get business casual from somewhere as trendy and young as Forever 21. I immediately knew that none of the looks they would choose would be appropriate for a business setting because it’s from Forever 21. That store is hit or miss... and you can’t get professional attire from there unless you get blazers and maybe some slacks or long skirt. You gotta pair their stuff with pieces from somewhere more business like express, Nordstrom or h&m. Let’s remember who forever 21s customer base is....",https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4124,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+Omg I have Kristen’s dress! It’s from the plus size section of forever 21. Wait is everybody in the video wearing F21 or is it just a coincidence...?,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4125,Forever 21,waste,"Women Try Forever 21's Business Casual Clothing+Honestly, maybe the second outfit would be business casual, but none of them really hit the mark. I work as a school counselor (which let me say, working in schools puts the CASUAL in business casual) and there is no way I could get away with any of this.",https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4127,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+half of these comments are about people arguing about how the outfits aren’t fitting the theme... just enjoy the video lol.,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4128,Forever 21,waste,"Women Try Forever 21's Business Casual Clothing+You can make business casual look super artsy and fashionable. I’m an illustrator and graphic designer who has to wear business casual every day, I never have an issue putting fun outfits together that I feel put together in without sacrificing my own personal style. Buzzfeed is really reaching with trying to pump out content",https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4129,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+This felt closer to wearing the Halloween version of business casual than actual business casual clothing...,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4130,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+Second and third were business casual. Except if that was a tube top. The first one was not business casual at all lol,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4131,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+Complains about skirt being short buys one shorter,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4132,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+My style depends on my mood sometimes I'm edgy sometimes casual sometimes cozy sometimes hipster sometimes a pink girl sometimes I like wearing darker clothes or a bit of all,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4133,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+The first one was the worst thing ever,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4134,Forever 21,waste,Women Try Forever 21's Business Casual Clothing+I would not have done that my dad works at the warehouse for forever 21 here in Lincoln heights California.  And he has told me forever 21s clothes come from China in disgusting conditions and it smells really bad . He told everyone about that in my family and  nobody shops there now .,https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4135,Forever 21,waste,"Women Try Forever 21's Business Casual Clothing+"" I don't know who that joyce is, she's dead. Im a professional. I'm patricia now"" best ever",https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4136,Forever 21,waste,"Women Try Forever 21's Business Casual Clothing+Next video: ""Learn how to pick business casual clothing""",https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4137,Forever 21,waste,"Women Try Forever 21's Business Casual Clothing+Looking at those pieces you can do buisness casual, but they just chose horrible outfits (for buisness casual). If you're wearing a croptop or no shirt, you are not buisness casual. If your blazer is longer than your skirt, you are not buisness casual",https://www.youtube.com//watch?v=do1n3z-SgoM&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4138,Forever 21,waste,Shein signs deal with Forever 21 as fast fashion expands footprint+The worst move for an apparel retailer. This clearly shows that the mall operators do not.undetstand the business. Its not just about inventory and logistics. Sad.,https://www.youtube.com//watch?v=Nz7voRjiyuc&pp=ygURRm9yZXZlciAyMSB3YXN0ZSA%3D,
4145,Forever 21,fast fashion,"FAST FASHION - EPISODE 1: ""LATE FOR A DATE""+wow ..really?..lol",https://www.youtube.com//watch?v=sIuXemKGbIY&pp=ygUYRm9yZXZlciAyMSBmYXN0IGZhc2hpb24g,
4146,Forever 21,fast fashion,"FAST FASHION - EPISODE 1: ""LATE FOR A DATE""+these would be cool commercials for tv",https://www.youtube.com//watch?v=sIuXemKGbIY&pp=ygUYRm9yZXZlciAyMSBmYXN0IGZhc2hpb24g,
4147,Forever 21,fast fashion,"FAST FASHION - EPISODE 1: ""LATE FOR A DATE""+Damn you, Forever21, for being so awesome. =)",https://www.youtube.com//watch?v=sIuXemKGbIY&pp=ygUYRm9yZXZlciAyMSBmYXN0IGZhc2hpb24g,
4148,Forever 21,fast fashion,"FAST FASHION - EPISODE 1: ""LATE FOR A DATE""+this truly is amazeballs! (:",https://www.youtube.com//watch?v=sIuXemKGbIY&pp=ygUYRm9yZXZlciAyMSBmYXN0IGZhc2hpb24g,
4149,Forever 21,fast fashion,"FAST FASHION - EPISODE 1: ""LATE FOR A DATE""+best store ever",https://www.youtube.com//watch?v=sIuXemKGbIY&pp=ygUYRm9yZXZlciAyMSBmYXN0IGZhc2hpb24g,
4150,Forever 21,fast fashion,"FAST FASHION - EPISODE 1: ""LATE FOR A DATE""+HAHA I LOVE THIS",https://www.youtube.com//watch?v=sIuXemKGbIY&pp=ygUYRm9yZXZlciAyMSBmYXN0IGZhc2hpb24g,
4151,Forever 21,fast fashion,"FAST FASHION - EPISODE 1: ""LATE FOR A DATE""+i love this!!!!!!!!!!!",https://www.youtube.com//watch?v=sIuXemKGbIY&pp=ygUYRm9yZXZlciAyMSBmYXN0IGZhc2hpb24g,
4152,Forever 21,fast fashion,"FAST FASHION - EPISODE 1: ""LATE FOR A DATE""+This is amazing! <3",https://www.youtube.com//watch?v=sIuXemKGbIY&pp=ygUYRm9yZXZlciAyMSBmYXN0IGZhc2hpb24g,
