,Brand,Search,Comments,Source,Additional info
35,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+This is literally garbage because it you want to make convenient shoes that’s recycled you better bake it cheap. This is not a movement to recycle but just to make more cash,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
36,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+Make it affordabel , safe planet not just your image",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
72,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+Joy ride, space hippie..whats up with these names??  Maybe next are, morning glory, eternal sunshine??",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
73,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+The name ""Space Hippie"" doesnt seem to fit well with the shoes. It doesnt seem to give justice to it!! Step up your game, Nike Designers and Innovators!!",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
75,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+Why is trash so expensive,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
76,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+Trash to cash,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
78,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+If u use recycled material then how does every space hippie look uniform and same as the recycled materials are different?,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
79,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+A very nice trash!,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
80,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+From Trash to Space Hippie to space price,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
82,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+Nike create shoes from trash,look we love environtment,also Nike we sell it 1k bucks hope people buy it tho",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
83,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+Main point here is previously people pay for new shoes now people paying money for trash every ones like ohh man it recycling so good for environment now you add recycled shoe on ocean nice and also you are paying for trash,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
84,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+I wonder why these shoes are so exclusive if it was created for helps the co2 emissions, reuse materials... and now after one only drop I can’t buy it anymore for a retail price",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
85,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+I love Nike so much,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
86,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+One mans trash is another mans treasure,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
88,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+Too bad trash at Nike costs a fortune..,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
89,Nike,waste,"From Trash to Space Hippie | Behind the Design | Nike+Yes sold out in seconds, did you guys run out of garbage?? Didn’t think so",https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
90,Nike,waste,From Trash to Space Hippie | Behind the Design | Nike+In a  cloud! https://www.youtube.com/watch?v=40g9VclggT4,https://www.youtube.com//watch?v=i3n_4-c1Rg8&pp=ygULTmlrZSB3YXN0ZSA%3D,
